session length: 20
sessions to play for each combine_formula: 3000



seed 1512398 

linear
(91, 237)
(92, 224)
(93, 327)
(94, 222)
(95, 231)
(96, 340)
(97, 128)
(98, 217)
20562
2 2 2999 


seed 4963463 

linear
(0, 1044)
(1, 762)
(2, 958)
(3, 876)
(4, 1043)
(5, 1027)
(6, 1017)
(7, 1017)
(8, 601)
(9, 931)
(10, 971)
(11, 1065)
(12, 903)
(13, 1011)
(14, 875)
(15, 1036)
(16, 1047)
(17, 745)
(18, 1301)
(19, 1036)
(20, 1005)
(21, 1196)
(22, 1042)
(23, 833)
(24, 891)
(25, 1087)
(26, 974)
(27, 1174)
(28, 1067)
(29, 1256)
(30, 1183)
(31, 1002)
(32, 1226)
(33, 1243)
(34, 861)
(35, 1173)
(36, 1229)
(37, 894)
(38, 1265)
(39, 739)
(40, 1043)
(41, 964)
(42, 1266)
(43, 1173)
(44, 1024)
(45, 1288)
(46, 1110)
(47, 1152)
(48, 1039)
(49, 1108)
(50, 983)
(51, 1138)
(52, 987)
(53, 995)
(54, 1082)
(55, 1073)
(56, 1236)
(57, 974)
(58, 1125)
(59, 1242)
(60, 1198)
(61, 1152)
(62, 1127)
(63, 1107)
(64, 1094)
(65, 1218)
(66, 1055)
(67, 1057)
(68, 975)
(69, 1138)
(70, 1207)
(71, 1036)
(72, 1100)
(73, 1012)
(74, 1087)
(75, 1195)
(76, 940)
(77, 879)
(78, 1096)
(79, 1028)
(80, 854)
(81, 1085)
(82, 958)
(83, 1370)
(84, 1000)
(85, 945)
(86, 1024)
(87, 1016)
(88, 1031)
(89, 1061)
(90, 1051)
(91, 1238)
(92, 1015)
(93, 1168)
(94, 1298)
(95, 1028)
(96, 1265)
(97, 1163)
(98, 933)
(99, 1103)
105915

arithmetic
(0, 1115)
(1, 1032)
(2, 942)
(3, 966)
(4, 911)
(5, 992)
(6, 968)
(7, 1063)
(8, 1026)
(9, 1013)
(10, 932)
(11, 934)
(12, 909)
(13, 954)
(14, 1041)
(15, 988)
(16, 987)
(17, 1012)
(18, 982)
(19, 904)
(20, 942)
(21, 1135)
(22, 926)
(23, 964)
(24, 1063)
(25, 960)
